event_date,trading_date,company,ticker,title,layoff_signal,ai_signal,ret_t_plus_1,ret_t_plus_3,ret_t_plus_5
2024-11-12,2024-11-12,ABN AMRO,ABN.AS,ABN AMRO posts net profit of EUR 617 million in Q3 2025,1.8114297409165445,0.2728526255156648,-0.011885152097686258,-0.023440121973670403,-0.021129181632133953
2024-11-25,2024-11-25,ABN AMRO,ABN.AS,ABN AMRO presents roadmap for profitable growth and new financial targets for 2028,1.488193321060267,0.5196038339325317,-0.01948275766805818,-0.015787789538249775,-0.011085040815659752
2024-1-8,2024-01-08,Barclays,BARC.L,"Barclays slashed 5,000 jobs in 2023 as latest overhaul ramps up",2.1008827878284557,0.0,-0.003487970815650554,-0.05968222332225048,-0.0635578012439525
2025-6-26,2025-06-26,BNP Paribas,BNP.PA,BNP Paribas targets profit rebound at French retail arm by 2028,1.7398739284852613,0.7411999973201489,0.021655473433410233,-0.0009299800104611844,0.017404106293612553
2025-2-13,2025-02-13,Commerzbank,CBK.DE,"Commerzbank to cut 3,900 mostly German jobs as it tries to head off UniCredit",1.9206837195101398,0.0,0.013450645785082704,0.026383962933757443,0.016554617603529165
2025-3-19,2025-03-19,Deutsche Bank,DBK.DE,"Deutsche Bank plans to cut 2,000 jobs with 'signficant' branch reduction",2.629068803317627,0.0,-0.020250977241891288,-0.01915034219108791,0.017169233621246338
2023-11-24,2023-11-24,Barclays,BARC.L,"Exclusive: Barclays working on $1.25 bln cost plan, could cut up to 2,000 jobs -source",2.8225889353061815,0.0,-0.01016669187515229,-0.009460566795282066,0.005083345937576089
2025-2-28,2025-02-28,HSBC,HSBA.L,"Exclusive: HSBC cutting staff numbers by 900 at China Pinnacle unit, sources say",1.0645494702583735,0.8773985142406726,0.009533079147542312,-0.005569716961570603,-0.06099190019904466
2024-12-5,2024-12-05,HSBC,HSBA.L,HSBC announces completion of next stage of global reorganisation,0.0,0.0,-0.010248883933198005,-0.0017302561050518417,0.013044100600489106
2025-5-14,2025-05-14,HSBC,HSBA.L,HSBC to cut 10% of its workforce in France,2.777663179502001,0.0,0.009643016517991265,0.01170937720041798,0.015497670079697157
2025-10-20,2025-10-20,ING,INGA.AS,ING Group: Major reorganization in the Netherlands?,1.2470574831380443,0.9330770842080931,-0.004611703463234362,-0.0009708800324018663,0.011650467151519184
2025-12-21,2025-12-22,ING,INGA.AS,ING survey: 25 percent of executives certain AI will replace jobs,0.21530612637014113,1.3132893074528642,0.00020901136899786898,-0.00585280010997391,
2025-2-3,2025-02-03,Julius Baer,BAER.SW,Julius Baer stock has worst day in a decade as results disappoint,2.2134406802524205,0.0,-0.008906346480308636,0.0456003131920979,0.01888134549207776
