date,company,title,ticker,layoff_signal,ai_signal,ret_t_plus_1,ret_t_plus_3,ret_t_plus_5,topic_0,topic_4,topic_5,topic_6,topic_7,topic_11,topic_13,topic_17,topic_18,topic_19,topic_20,topic_25,topic_26,topic_27,topic_31,topic_35,topic_37,topic_43,topic_47,topic_50
2024-11-12,ABN AMRO,ABN AMRO posts net profit of EUR 617 million in Q3 2025,ABN.AS,1.7994193967624068,0.2435997489316298,-0.011885152097686258,-0.023440121973670403,-0.021129114590058506,0,0,0,0,1,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0
2024-11-25,ABN AMRO,ABN AMRO presents roadmap for profitable growth and new financial targets for 2028,ABN.AS,1.517389249800559,0.4331949081772013,-0.019482689454941027,-0.015787789538249775,-0.011084972602542598,0,1,0,2,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2023-11-24,Barclays,"Exclusive: Barclays working on $1.25 bln cost plan, could cut up to 2,000 jobs -source",BARC.L,2.881024951300984,0.0,-0.010166585165808928,-0.009460460009814597,0.005083454290955469,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2024-1-8,Barclays,"Barclays slashed 5,000 jobs in 2023 as latest overhaul ramps up",BARC.L,2.097689116138635,0.0,-0.003487970815650554,-0.05968222332225048,-0.0635578012439525,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2026-1-14,Citigroup,Citigroup CEO Jane Fraser warns of job cuts and says it’s time to raise the bar in a fiery memo to staff: ‘We are not graded on effort’,C,2.2245019791450282,1.1618524105374552,0.044924786565641917,0.003469436677724147,0.028912017561791847,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2025-2-13,Commerzbank,"Commerzbank to cut 3,900 mostly German jobs as it tries to head off UniCredit",CBK.DE,1.9207534785754254,0.0,0.013450645785082704,0.026383962933757443,0.016554617603529165,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1
2025-3-19,Deutsche Bank,"Deutsche Bank plans to cut 2,000 jobs with 'significant' branch reduction",DBK.DE,2.627811705903786,0.0,-0.020250977241891288,-0.01915034219108791,0.017169233621246338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-22,HSBC,HSBC splits East and West in major revamp and appoints first female finance chief,HSBA.L,2.191585454760251,0.0,-0.0023476965787007087,0.0008803974191378128,0.047248861124745245,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-5,HSBC,HSBC announces completion of next stage of global reorganisation,HSBA.L,0.0,0.0,-0.010248803483954294,-0.0017301749633945596,0.013044101660743657,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2025-2-28,HSBC,"Exclusive: HSBC cutting staff numbers by 900 at China Pinnacle unit, sources say",HSBA.L,1.2310982666196484,0.8412957593218274,0.009533014360451508,-0.00556978273654507,-0.060991838777909146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-5-14,HSBC,HSBC to cut 10% of its workforce in France,HSBA.L,2.7253360381091283,0.0,0.009643016517991265,0.01170937720041798,0.015497670079697157,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-20,ING,ING Group: Major reorganization in the Netherlands?,INGA.AS,1.2093386122335814,0.9118250335123632,-0.004611703463234362,-0.0009708800324018663,0.011650467151519184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0
2026-1-13,Julius Baer,Visa 2026 Global Economic Outlook: AI Adoption and Shifting Trade Patterns Drive Economic Transformation Beneath Steady Growth,BAER.SW,0.07454918930759455,1.8930573616651476,0.005690399666947954,0.017969520808208683,-0.00958369873236431,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2025-2-3,Julius Baer,Julius Baer stock has worst day in a decade as results disappoint,BAER.SW,2.210955371354778,0.0,-0.008906346480308636,0.0456003131920979,0.01888134549207776,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
